ticker,name,type,sector,valuation_sector,data_tier,price,intrinsic,mos,verdict,confidence,composite,reliable,roe,pe,pb,implied_pe,analyst_upside,abstain_cause,red_flags,alt_model
ADANIGREEN,Adani Green Energy Ltd.,nonfinancial,Power,UTILITIES,full,1543.7,321.9907496626452,-0.7914162404206484,AVOID,high,34.32223305604975,True,0.07863761582769847,152.84596496815288,12.019442273979463,31.9,-0.08725788689512214,,priced_for_collapse_avoid,False
POKARNA,Pokarna,nonfinancial,Construction - Raw Materials,CEMENT,full,984.0,204.52979708997898,-0.7921445151524604,AVOID,medium,32.72727729587455,True,0.09406396956719605,37.841458876069964,3.5595178360969464,7.9,,,priced_for_collapse_avoid|implied_pe_lt_third_sector_exit,False
LMW,LMW,nonfinancial,Misc. Capital Goods,CAPITAL_GOODS,full,15979.0,3311.3259667788193,-0.7927701378822943,AVOID,medium,29.766926264926568,True,0.0456058216932029,130.78505316300775,5.964559814688194,27.1,-0.29138243945178044,,priced_for_collapse_avoid,False
ASTERDM,Aster DM Healthcare Ltd.,nonfinancial,Healthcare,PHARMA,full,816.4,168.51858052299934,-0.7935833163608534,AVOID,high,34.30357532077987,True,0.09333764581958365,108.57298056661203,10.133946405702972,22.4,-0.001714845663890222,,priced_for_collapse_avoid,False
KRN,KRN Heat Exchanger and Refrigeration,nonfinancial,Misc. Capital Goods,CAPITAL_GOODS,full,1249.4,254.39152756555978,-0.796389044689003,AVOID,medium,34.19462233354198,True,0.1332253175142424,101.6250555773506,13.539030296695064,20.7,-0.15639506963342412,,priced_for_collapse_avoid,False
MANAPPURAM,Manappuram Finance,financial,Gold Loan NBFC,NBFC,full,322.55,64.35578041700674,-0.8004781261292613,AVOID,high,31.59096341615696,True,0.06187502881487084,27.54442022272792,1.7043117949702007,5.5,-0.014106340102309755,,priced_for_collapse_avoid|implied_pe_lt_third_sector_exit,False
MOSCHIP,Moschip Technologies,nonfinancial,Semiconductors,MANUFACTURING,full,239.75,47.42863548047707,-0.802174617391128,AVOID,medium,28.36616868721117,True,0.0861499302479258,136.9708096590909,11.800025698132604,27.1,,,priced_for_collapse_avoid,False
AMAGI,Amagi Media Labs Ltd,nonfinancial,Software & Programming,IT_SERVICES,full,565.0,111.47339241311002,-0.8027019603307788,AVOID,medium,29.222231648636093,True,0.040795532812313226,164.76210408818193,6.721557823555193,32.5,,,priced_for_collapse_avoid,False
ASTRAMICRO,Astra Microwave Products,nonfinancial,Aerospace & Defense,DEFENCE,full,1694.1,330.22319944197676,-0.8050745531893178,AVOID,medium,38.164276311443295,True,0.14679324798222992,83.57688759910866,12.268522786918917,16.3,-0.14881057788796406,,priced_for_collapse_avoid,False
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,nonfinancial,Chemicals,CHEMICALS,full,4078.0,767.2116821454008,-0.8118656983459046,AVOID,high,37.23217163459574,True,0.0729722857869311,78.00773519163764,5.692402745995423,14.7,-0.0230505149583129,,priced_for_collapse_avoid,False
OPTIEMUS,Optiemus Infracom,nonfinancial,Retail (Technology),IT_SERVICES,full,588.95,110.08754318633929,-0.813078286465168,AVOID,medium,25.250749473400425,True,0.08499433456942729,79.67464778063929,6.771893670168933,14.9,,,priced_for_collapse_avoid,False
AZAD,Azad Engineering,nonfinancial,Misc. Capital Goods,CAPITAL_GOODS,full,2345.0,436.0455897825737,-0.8140530533976231,AVOID,medium,33.42862365169233,True,0.08735692327817385,113.94916142557652,9.954248152266334,21.2,-0.15735607675906182,,priced_for_collapse_avoid,False
GRAVITA,Gravita India Ltd.,nonfinancial,Metals & Mining,METAL,full,1809.2,334.765005903231,-0.8149651747163216,AVOID,high,38.1693149931365,True,0.15431773962628945,34.76563846377501,5.364954744394545,6.4,0.1679195224408578,,priced_for_collapse_avoid,False
SHILPAMED,Shilpa Medicare,nonfinancial,Biotechnology & Drugs,IT_SERVICES,full,620.25,113.54034691198446,-0.8169442210205813,AVOID,medium,30.67099673466996,True,0.0939062982401976,49.858587103932926,4.682035350416796,9.1,-0.02781136638452237,,priced_for_collapse_avoid,False
TFCILTD,Tourism Finance Corporation of India,financial,Consumer Financial Services,NBFC,full,85.16,15.50938252582139,-0.8178794912421161,AVOID,medium,27.408623095819987,True,0.09387593716258344,31.89533776121821,2.9942047234514955,5.8,,,priced_for_collapse_avoid|implied_pe_lt_third_sector_exit,False
CYIENTDLM,Cyient DLM,nonfinancial,Electronic Instr. & Controls,MANUFACTURING,full,574.6,103.66289522189611,-0.8195912021895299,AVOID,medium,29.25642287121398,True,0.07240319728092796,62.25878820960699,4.507735325211686,11.2,-0.12634876435781417,,priced_for_collapse_avoid,False
DYNAMATECH,Dynamatic Technologies,nonfinancial,Misc. Capital Goods,CAPITAL_GOODS,full,10409.0,1847.2040518476194,-0.8225377988425767,AVOID,medium,22.621568611317777,True,0.040843330980945655,218.3930885529158,8.919901199717716,38.8,-0.18916322413296185,,priced_for_collapse_avoid,False
CHOICEIN,Choice International Ltd.,financial,Financial Services,NBFC,full,814.65,141.54023812492528,-0.8262563823422018,AVOID,high,37.06406255814847,True,0.13021758769017236,72.5347652301755,9.445302151946443,12.6,,,priced_for_collapse_avoid,False
PFOCUS,Prime Focus,nonfinancial,Motion Pictures,MANUFACTURING,full,289.47,48.59975743316818,-0.832107792057318,AVOID,medium,24.16057857362127,True,0.14432160419050719,73.46710569968815,10.602890549812548,12.3,,,priced_for_collapse_avoid,False
LLOYDSENGG,Lloyds Engineering Works,nonfinancial,Iron & Steel,METAL,full,87.25,14.451564580813445,-0.8343660219964075,AVOID,medium,33.874610214122725,True,0.09307238830535357,58.557536492830046,5.45008977466559,9.7,,,priced_for_collapse_avoid,False
TITAGARH,Titagarh Rail Systems Ltd.,nonfinancial,Capital Goods,CAPITAL_GOODS,full,861.05,138.59069843317042,-0.8390445404643511,AVOID,high,34.916024851890434,True,0.04949587907613121,95.4911888111888,4.726420334234615,15.4,0.13814528773009704,,priced_for_collapse_avoid,False
MTARTECH,MTAR Technologies,nonfinancial,Misc. Capital Goods,CAPITAL_GOODS,full,6046.0,956.7615819054358,-0.8417529636279465,AVOID,medium,30.774652441163067,True,0.11430968039971309,198.0397745400404,22.63786333410326,31.3,0.07095600396956665,,priced_for_collapse_avoid,False
ZAGGLE,Zaggle Prepaid Ocean Services,financial,Consumer Financial Services,NBFC,full,209.61,32.72361034587603,-0.8438833531516815,AVOID,medium,26.95843383689683,True,0.09881712849217708,20.423228596137218,2.018164804409597,3.2,1.77181432183579,,priced_for_collapse_avoid|implied_pe_lt_third_sector_exit,False
VOLTAS,Voltas Ltd.,nonfinancial,Consumer Durables,CONSUMER_DISC,full,1361.3,212.46113356481524,-0.8439277649564274,AVOID,high,30.014965242323527,True,0.07850588358915406,119.82115987773938,9.406666028879224,18.7,-0.014177624329684828,,priced_for_collapse_avoid,False
PARAS,Paras Defence and Space Technologies,nonfinancial,Communications Equipment,TELECOM,full,1176.3,178.38140706599995,-0.8483538152971181,AVOID,medium,38.06240776093946,True,0.12331826202029111,107.5579476861167,13.263859175121304,16.3,-0.1694295672872566,,priced_for_collapse_avoid,False
BHEL,Bharat Heavy Electricals Ltd.,nonfinancial,Capital Goods,CAPITAL_GOODS,full,424.3,64.18042904879853,-0.8487380885015354,AVOID,high,29.54705012732098,True,0.061203368698033396,92.23843875370252,5.645303175173828,14.0,-0.20810747112891825,,priced_for_collapse_avoid,False
BEML,BEML Ltd.,nonfinancial,Capital Goods,CAPITAL_GOODS,full,1792.6,258.0995462073103,-0.8560194431511154,AVOID,high,36.00076585777725,True,0.048183079340516265,105.63354555744198,5.089749506614266,15.2,0.2557179515787125,,priced_for_collapse_avoid,False
MIDHANI,Mishra Dhatu Nigam,nonfinancial,Iron & Steel,METAL,full,408.0,54.51585218555944,-0.866382715231472,AVOID,medium,30.533669214159996,True,0.08581704721993759,58.12611242108466,4.9882113343516234,7.8,0.11519607843137254,,priced_for_collapse_avoid,False
HFCL,HFCL Ltd.,nonfinancial,Telecommunication,TELECOM,full,213.17,28.179986255097575,-0.8678051027109932,AVOID,high,32.558816892095564,True,0.06735981188979195,100.0819690990772,6.741502612073812,13.2,,,priced_for_collapse_avoid,False
GODREJPROP,Godrej Properties Ltd.,nonfinancial,Realty,REALTY,full,2105.0,277.8042842585007,-0.8680264682857479,AVOID,high,34.44129974939936,True,0.0960902172426358,34.27403757347907,3.2933997162178663,4.5,0.0855106888361045,,priced_for_collapse_avoid|implied_pe_lt_third_sector_exit,False
LENSKART,Lenskart Solutions Ltd.,nonfinancial,Consumer Services,CONSUMER,full,538.0,70.24544887738988,-0.8694322511572679,AVOID,high,31.046330453127638,True,0.05732670672689051,185.51576005589382,10.635007569940413,24.2,,,priced_for_collapse_avoid,False
AVANTEL,Avantel,nonfinancial,Communications Equipment,TELECOM,full,169.69,21.739979915184342,-0.8718841421699314,AVOID,medium,34.89818604376395,True,0.0443189545575496,314.24912608405606,13.927192738668952,40.3,,,priced_for_collapse_avoid,False
BLACKBUCK,Black Buck Ltd,nonfinancial,Software & Programming,IT_SERVICES,full,579.8,73.51187120265972,-0.8732116743658852,AVOID,medium,28.672747840636184,True,0.11276778304474422,66.1740052388674,7.4622958659783665,8.4,0.2659537771645396,,priced_for_collapse_avoid|implied_pe_lt_third_sector_exit,False
INOXGREEN,Inox Green Energy Services,nonfinancial,Construction Services,CONSTRUCTION,full,185.7,22.47655622525494,-0.8789630790239368,AVOID,medium,29.951457590705996,True,0.06113255736302875,67.52889037945573,4.128213764783758,8.2,,,priced_for_collapse_avoid,False
WHEELS,Steel Strips Wheels,nonfinancial,Iron & Steel,METAL,full,1463.2,166.34830589806617,-0.8863119833938858,AVOID,medium,26.736555097945462,True,0.10539613588133931,121.2282199558406,12.776985943118667,13.8,-0.8018042646254784,,priced_for_collapse_avoid,False
ATGL,Adani Total Gas Ltd.,nonfinancial,Oil Gas & Consumable Fuels,ENERGY,full,706.15,79.84688494434646,-0.8869264533819352,AVOID,high,37.28561810514803,True,0.13026819135793585,118.48094535527747,15.434298461810428,13.4,,,priced_for_collapse_avoid,False
ITI,ITI Ltd.,nonfinancial,Telecommunication,TELECOM,full,284.85,29.67429270642955,-0.8958248456856958,AVOID,high,34.190697298568864,True,0.1536657168495458,93.70488167195985,14.399227814423575,9.8,,,priced_for_collapse_avoid|implied_pe_lt_third_sector_exit,False
PREMEXPLN,Premier Explosives,nonfinancial,Chemical Manufacturing,CHEMICALS,full,664.0,68.16467348981871,-0.8973423592020803,AVOID,medium,34.04173083135375,True,0.15850831978413535,77.96420776953295,12.3579755768499,8.0,0.06927710843373494,,priced_for_collapse_avoid|implied_pe_lt_third_sector_exit,False
IGIL,International Gemological Institute Ltd.,nonfinancial,Services,MANUFACTURING,full,344.45,35.05610101642864,-0.8982258643738463,AVOID,high,41.00353116333431,True,0.09197717354817053,108.66517518248175,9.994715676401476,11.1,0.39933226883437367,,priced_for_collapse_avoid,False
MBAPL,Madhya Bharat Agro products,nonfinancial,Chemical Manufacturing,CHEMICALS,partial,135.05,13.637747004635255,-0.8990170529090318,AVOID,medium,19.838976822016594,True,,,10.763217209386939,,,,priced_for_collapse_avoid,False
GRWRHITECH,Garware Hi-Tech Films,nonfinancial,Fabricated Plastic & Rubber,MANUFACTURING,full,6859.0,651.1085907640163,-0.9050723734124484,AVOID,medium,37.17731422413383,True,0.1273379615685802,147.22626615025277,18.74749262092645,14.0,,,priced_for_collapse_avoid,False
NYKAA,FSN E-Commerce Ventures Ltd.,nonfinancial,Consumer Services,CONSUMER,full,321.45,29.923406720455034,-0.906911162792176,AVOID,high,26.278631175003785,True,0.14182394748188432,459.20978228890846,65.12694404650968,42.7,-0.25960491522787366,,priced_for_collapse_avoid,False
POONAWALLA,Poonawalla Fincorp Ltd.,financial,Financial Services,NBFC,full,474.35,43.96097787953937,-0.9073237527573745,AVOID,high,28.231581072885618,True,0.05235769560814205,69.54903748546539,3.6414273345032586,6.4,0.01612733213871609,,priced_for_collapse_avoid,False
CERA,Kajaria Ceramics,nonfinancial,Constr. - Supplies & Fixtures,MANUFACTURING,full,6015.5,555.1242543932938,-0.9077176869099337,AVOID,medium,35.91783466102319,True,0.15985881953822767,196.40044076235563,31.396342617057783,18.1,-0.7835591388911978,,priced_for_collapse_avoid,False
IBULLSLTD,Indiabulls,nonfinancial,Rental & Leasing,MANUFACTURING,full,29.1,2.4262159164537915,-0.9166248825960897,AVOID,medium,26.351531998869103,True,0.11225704342975382,23.095545026435154,2.5926376010663654,1.9,,,priced_for_collapse_avoid|implied_pe_lt_third_sector_exit,False
LINDEINDIA,Linde India Ltd.,nonfinancial,Chemicals,CHEMICALS,full,7106.0,541.7179657004682,-0.9237661179706631,AVOID,high,40.017232566781715,True,0.12866601821143547,110.41638735062664,14.206836905696639,8.4,-0.05277230509428652,,priced_for_collapse_avoid|implied_pe_lt_third_sector_exit,False
PTCIL,PTC Industries Ltd.,nonfinancial,Capital Goods,CAPITAL_GOODS,full,17437.0,1185.632976681124,-0.9320047613304396,AVOID,high,39.284076677521355,True,0.06738725109646941,257.5374163056322,17.35473853932361,17.5,,,priced_for_collapse_avoid,False
VIYASH,Viyash Scientific Ltd,nonfinancial,Biotechnology & Drugs,IT_SERVICES,full,268.65,15.887293189558774,-0.9408624858010096,AVOID,medium,24.794745100818602,True,0.07717120224248213,66.99208991764968,5.169860119681491,4.0,0.16136236739251825,,priced_for_collapse_avoid|implied_pe_lt_third_sector_exit,False
IFCI,IFCI Ltd.,financial,Financial Services,NBFC,full,72.18,4.048589363325554,-0.943909817631954,AVOID,high,32.02010444675607,True,0.04860119649882664,104.60794966759451,5.084071517134127,5.9,,,priced_for_collapse_avoid|implied_pe_lt_third_sector_exit,False
AEGISVOPAK,Aegis Vopak Terminals Ltd.,nonfinancial,Oil Gas & Consumable Fuels,ENERGY,full,269.15,14.948781579052408,-0.9444592919225249,AVOID,high,33.82971938266428,True,0.07969104338118246,94.43707738652314,7.525789230801501,5.2,0.15177410365966942,,priced_for_collapse_avoid,False
MAHLIFE,Mahindra Lifespace Developers,nonfinancial,Construction Services,CONSTRUCTION,full,374.2,17.17537463807909,-0.9541010832761115,AVOID,medium,24.333866272557316,True,0.08221138336913096,25.61432068953952,2.105788737947597,1.2,0.26670229823623737,,priced_for_collapse_avoid|implied_pe_lt_third_sector_exit,False
ELLEN,Ellenbarrie Industrial Gases,nonfinancial,Chemical Manufacturing,CHEMICALS,full,286.0,9.72331031425152,-0.966002411488631,AVOID,medium,24.942634969715527,True,0.10684241766788792,37.94157088122605,4.053769163067728,1.3,1.027972027972028,,priced_for_collapse_avoid|implied_pe_lt_third_sector_exit,False
PTC,PTC Industries,nonfinancial,Iron & Steel,METAL,full,17941.0,490.33403015282306,-0.9726696376928364,AVOID,medium,31.17652763107321,True,0.06738725109646941,264.98129184718397,17.856360849573026,7.2,0.3121342177136169,,priced_for_collapse_avoid,False
PRSMJOHNSN,Prism Johnson,nonfinancial,Construction - Raw Materials,CEMENT,full,109.85,2.4450004066534525,-0.9777423722653305,AVOID,medium,18.538712554393697,True,0.06900929197748985,549.2499999999999,37.903353618636295,12.2,0.3108784706417843,,priced_for_collapse_avoid,False
RAJESHEXPO,Rajesh Exports,nonfinancial,Jewelry & Silverware,CONSUMER_DISC,full,85.97,7836.869360774046,90.15818728363436,LOW CONF,low,34.77106666666667,False,0.006514665525490294,22.56616977777778,0.14701104829364986,2057.1,,LC_data_thin,implied_pe_gt_2x_sector_exit,False
CLEANMAX,Clean Max Enviro Energy Solutions Ltd,nonfinancial,Electric Utilities,UTILITIES,full,1257.1,15362.341765622012,11.220461192921814,LOW CONF,low,35.15,False,0.017103359657803446,6.813979578973906,0.11654194344011881,83.3,,LC_data_thin,implied_pe_gt_2x_sector_exit,False
ASHOKA,Ashoka Buildcon,nonfinancial,Construction Services,CONSTRUCTION,full,123.93,772.3130526543443,5.231849049095008,LOW CONF,low,44.16693333333333,False,0.39150180566870546,1.3644905660377358,0.5342005204216875,8.5,0.2829823287339627,LC_data_thin,,False
LICI,Life Insurance Corporation of India,financial,Financial Services,INSURANCE,full,433.3,2621.2105604548487,5.049412786648624,LOW CONF,high,86.96000000000001,False,0.2857901691987343,9.539849643575149,2.7263952437678274,57.7,1.557119778444496,LC_lender_divergence,implied_pe_gt_2x_sector_exit,False
KISSHT,OnEMI Technology Solutions Ltd,nonfinancial,Unknown,MANUFACTURING,full,309.0,1750.452910434941,4.66489615027489,LOW CONF,low,39.753303594036254,False,0.20960246652467268,5.939562977438266,1.2449470501496895,33.6,,LC_data_thin,,False
OSWALPUMPS,Oswal Pumps,nonfinancial,Misc. Capital Goods,CAPITAL_GOODS,full,398.85,2042.1133790276363,4.12000345750943,LOW CONF,medium,82.15689493333333,False,0.44315764454215933,5.74377371646174,2.5453972309703485,29.4,,LC_implausible_upside,,False
